Loading environment football failed: No module named 'gfootball'
-- 7.185823394916952
         24794382 function calls (23595294 primitive calls) in 7.519 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      366    0.000    0.000    0.006    0.000 inspect.py:2829(from_callable)
     1596    0.001    0.000    0.006    0.000 helpers.py:521(<dictcomp>)
      366    0.001    0.000    0.006    0.000 inspect.py:2198(_signature_from_callable)
      399    0.000    0.000    0.006    0.000 helpers.py:657(<listcomp>)
      858    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
    12648    0.004    0.000    0.005    0.000 validators.py:153(_id_of)
        1    0.000    0.000    0.005    0.005 multiarray.py:7(<module>)
        1    0.000    0.000    0.005    0.005 helpers.py:15(<module>)
     4928    0.004    0.000    0.005    0.000 copy.py:252(_keep_alive)
        1    0.000    0.000    0.005    0.005 _types.py:1(<module>)
     3192    0.004    0.000    0.005    0.000 typing.py:806(__new__)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
        1    0.000    0.000    0.005    0.005 cookiejar.py:26(<module>)
      492    0.003    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
       13    0.000    0.000    0.005    0.000 _make.py:946(wrap)
        1    0.000    0.000    0.005    0.005 uuid.py:712(uuid1)
    23982    0.004    0.000    0.005    0.000 {built-in method builtins.setattr}
      447    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1596    0.002    0.000    0.005    0.000 helpers.py:406(_observation)
        1    0.000    0.000    0.005    0.005 uuid.py:561(_load_system_functions)
       34    0.002    0.000    0.005    0.000 enum.py:135(__new__)
        1    0.000    0.000    0.005    0.005 overrides.py:1(<module>)
        1    0.001    0.001    0.005    0.005 core.py:21(<module>)
      493    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1310    0.001    0.000    0.005    0.000 __init__.py:442(_matches_info)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:10(<module>)
        2    0.000    0.000    0.005    0.002 validators.py:3(<module>)
      415    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.004    0.004 main.py:15(<module>)
     4788    0.003    0.000    0.004    0.000 helpers.py:481(shipyards)
        1    0.000    0.000    0.004    0.004 mbcsgroupprober.py:30(<module>)
      366    0.002    0.000    0.004    0.000 inspect.py:2117(_signature_from_function)
     4961    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     8118    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.004    0.004 numerictypes.py:81(<module>)
        1    0.000    0.000    0.004    0.004 util.py:319(find_library)
    54816    0.004    0.000    0.004    0.000 parse.py:98(_noop)
        1    0.000    0.000    0.004    0.004 _util.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
     1612    0.001    0.000    0.004    0.000 compat.py:45(urldefrag)
        1    0.000    0.000    0.004    0.004 util.py:159(_get_soname)
       13    0.000    0.000    0.004    0.000 enum.py:633(_convert)
      277    0.001    0.000    0.004    0.000 function_base.py:431(add_newdoc)
     1596    0.002    0.000    0.004    0.000 helpers.py:505(<dictcomp>)
        1    0.000    0.000    0.004    0.004 certs.py:14(<module>)
